Availability;DataSheetUrl;Description;FactoryStock;ImagePath;Category;LeadTime;LifecycleStatus;Manufacturer;ManufacturerPartNumber;Min;Mult;MouserPartNumber;AlternatePackagings;ProductDetailUrl;Reeling;ROHSStatus;SuggestedReplacement;MultiSimBlue;AvailabilityInStock
None;https://www.mouser.com/datasheet/2/18/1/io_hdmi_g45-2509040.pdf;HDMI, Displayport & DVI Connectors HDMI Connector System - G45 Series, Input Output Connectors, HDMI+Display Conn Dual Interface, Receptacle, 0.5mm Pitch, 19+20 Position, Right Angle, Dip+SMT Type, With Side Flange, 15u in Gold Plating, High Temperature Thermo Plastic, Black, With Myl;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;G45AD131212HR;4200;150;523-G45AD131212HR;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/G45AD131212HR?qs=f9yNj16SXrJD1MgU3wbV8Q%3D%3D;True;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI Connector System - G45 Series, Input Output Connector, A Type, Receptacle, Over USB 3.0, A Type, Receptacle, Right Angle, Dip (Kink for Shell Peg) Type, Gold Flash Plating, High Temperature Thermo Plastic, Black, Tray Package;0;None;HDMI, Displayport & DVI Connectors;77 Days;None;Amphenol Commercial Products;G45AE201101EU;540;540;523-G45AE201101EU;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/G45AE201101EU?qs=f9yNj16SXrIdCXTFTlXPuw%3D%3D;False;;;0;0
None;;HDMI, Displayport & DVI Connectors .4mm MicroHDMI Hyb Rec T&R.38AuLF 19Ckt;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Molex;46765-2311;4000;4000;538-46765-2311;None;https://eu.mouser.com/ProductDetail/Molex/46765-2311?qs=39%2FIAS6MRggtYMN%2F2HfWnw%3D%3D;False;RoHS Compliant;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI Connector System - G45 Series, Input Output Connectors, Receptacle, Type A, Right Angle, 0.5mm Pitch, 19 Position, SMT (Through Hole for Shell Peg, Nickel) Type, Gold Flash Plating, High Temperature Thermo Plastic, Black, Tape and Reel Package;0;None;HDMI, Displayport & DVI Connectors;77 Days;None;Amphenol Commercial Products;HDMF1910DDA2TR1;2800;2800;523-HDMF1910DDA2TR1;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/HDMF1910DDA2TR1?qs=f9yNj16SXrJs986cNvMnHA%3D%3D;True;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI 2.0;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;HDMF1910DDA3TR1;2800;2800;523-HDMF1910DDA3TR1;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/HDMF1910DDA3TR1?qs=PzGy0jfpSMuDv9Q%252Bd3nrcw%3D%3D;True;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI, RECEPTACLE, 0.5mm pitch, 19 pins, Right Angle high rise, A Type with EMI shell, SMT Type, G/F plating, Shell with Nickel plating, Tray Packing;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;HDMF191085A2TR;10000;1000;523-HDMF191085A2TR;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/HDMF191085A2TR?qs=PzGy0jfpSMuvg7aF5cRI%252Bw%3D%3D;True;;;0;0
None;;HDMI, Displayport & DVI Connectors G46A2012101WEU-DISPLAY PORT 20POS REC;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;G46A2012101WEU;4000;2000;523-G46A2012101WEU;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/G46A2012101WEU?qs=%252BEew9%252B0nqrBApjr8d%252BbbSQ%3D%3D;False;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI Connector System - G45 Series, Input Output Connectors, Receptacle, Type A, Upright, 0.75mm Pitch, 19 Position, Dip (Forklock and Through Hole for Shell Peg, Nickel, With additional EMI shell solder Width 1.5mm with Mylar) Type, Gold Flash Plati;0;None;HDMI, Displayport & DVI Connectors;77 Days;None;Amphenol Commercial Products;G45A190726HR;1700;1700;523-G45A190726HR;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/G45A190726HR?qs=f9yNj16SXrLSX442URoixg%3D%3D;False;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI, RECEPTACLE, 0.5mm pitch, 19 pins, Right Angle, A Type with Flange, Dip Type, 30U" plating, Shell with Nickel plating, Tape and Reel Packing;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;HDMF19200912TR;5200;400;523-HDMF19200912TR;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/HDMF19200912TR?qs=PzGy0jfpSMtStEWTKHyQdw%3D%3D;True;;;0;0
None;;HDMI, Displayport & DVI Connectors DisplayPort Connector System - G46 Series, Input Output Connectors, mini DisplayPort, 20 Position, Receptacle, Right Angle, SMT+Dip (Through Hole for Shell Peg) Type, Tail 3.10mm, 30u in Gold Plating, High Temperature Thermo Plastic, Black, Tape and;0;None;HDMI, Displayport & DVI Connectors;56 Days;None;Amphenol Commercial Products;G46M2023201BTWEU;3800;3800;523-G46M2023201BTWEU;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/G46M2023201BTWEU?qs=f9yNj16SXrIsi770y0S5Lg%3D%3D;True;;;0;0
